 0.057, 0.075, 0.596,-0.272
 0.057, 0.075, 0.597,-0.273
 0.057, 0.075, 0.597,-0.274
 0.058, 0.075, 0.598,-0.275
 0.058, 0.075, 0.598,-0.276
 0.059, 0.075, 0.599,-0.277
 0.059, 0.075, 0.6  ,-0.277
 0.06 , 0.076, 0.6  ,-0.278
 0.06 , 0.076, 0.601,-0.279
 0.06 , 0.076, 0.601,-0.28 
 0.061, 0.076, 0.602,-0.281
 0.061, 0.076, 0.603,-0.282
 0.062, 0.076, 0.603,-0.283
 0.062, 0.076, 0.604,-0.284
 0.062, 0.076, 0.604,-0.285
 0.063, 0.076, 0.605,-0.286
 0.063, 0.077, 0.606,-0.286
 0.064, 0.077, 0.606,-0.287
 0.064, 0.077, 0.607,-0.288
 0.064, 0.077, 0.607,-0.289
 0.065, 0.077, 0.608,-0.29 
 0.065, 0.077, 0.609,-0.291
 0.066, 0.077, 0.609,-0.292
 0.066, 0.077, 0.61 ,-0.293
 0.067, 0.077, 0.611,-0.294
 0.067, 0.077, 0.611,-0.295
 0.067, 0.077, 0.612,-0.296
 0.068, 0.078, 0.612,-0.296
 0.068, 0.078, 0.613,-0.297
 0.069, 0.078, 0.614,-0.298
 0.069, 0.078, 0.614,-0.299
 0.069, 0.078, 0.615,-0.3  
 0.07 , 0.078, 0.615,-0.301
 0.07 , 0.078, 0.616,-0.302
 0.071, 0.078, 0.617,-0.303
 0.071, 0.078, 0.617,-0.304
 0.071, 0.078, 0.618,-0.305
 0.072, 0.078, 0.618,-0.306
 0.072, 0.079, 0.619,-0.306
 0.073, 0.079, 0.62 ,-0.307
 0.073, 0.079, 0.62 ,-0.308
 0.073, 0.079, 0.621,-0.309
 0.074, 0.079, 0.621,-0.31 
 0.074, 0.079, 0.622,-0.311
 0.075, 0.079, 0.623,-0.312
 0.075, 0.079, 0.623,-0.313
 0.075, 0.079, 0.624,-0.314
 0.076, 0.079, 0.624,-0.315
 0.076, 0.079, 0.625,-0.316
 0.077, 0.079, 0.626,-0.317
 0.077, 0.08 , 0.626,-0.317
 0.078, 0.08 , 0.627,-0.318
 0.078, 0.08 , 0.628,-0.319
 0.078, 0.08 , 0.628,-0.32 
 0.079, 0.08 , 0.629,-0.321
 0.079, 0.08 , 0.629,-0.322
 0.08 , 0.08 , 0.63 ,-0.323
 0.08 , 0.08 , 0.631,-0.324
 0.08 , 0.08 , 0.631,-0.325
 0.081, 0.08 , 0.632,-0.326
 0.081, 0.08 , 0.632,-0.327
 0.082, 0.08 , 0.633,-0.328
 0.082, 0.08 , 0.634,-0.328
 0.082, 0.081, 0.634,-0.329
 0.083, 0.081, 0.635,-0.33 
 0.083, 0.081, 0.635,-0.331
 0.084, 0.081, 0.636,-0.332
 0.084, 0.081, 0.637,-0.333
 0.084, 0.081, 0.637,-0.334
 0.085, 0.081, 0.638,-0.335
 0.085, 0.081, 0.639,-0.336
 0.086, 0.081, 0.639,-0.337
 0.086, 0.081, 0.64 ,-0.338
 0.086, 0.081, 0.64 ,-0.339
 0.087, 0.081, 0.641,-0.339
 0.087, 0.081, 0.642,-0.34 
 0.088, 0.081, 0.642,-0.341
 0.088, 0.081, 0.643,-0.342
 0.088, 0.082, 0.643,-0.343
 0.089, 0.082, 0.644,-0.344
 0.089, 0.082, 0.645,-0.345
 0.09 , 0.082, 0.645,-0.346
 0.09 , 0.082, 0.646,-0.347
 0.09 , 0.082, 0.647,-0.348
 0.091, 0.082, 0.647,-0.349
 0.091, 0.082, 0.648,-0.35 
 0.092, 0.082, 0.648,-0.351
 0.092, 0.082, 0.649,-0.351
 0.092, 0.082, 0.65 ,-0.352
 0.093, 0.082, 0.65 ,-0.353
 0.093, 0.082, 0.651,-0.354
 0.094, 0.082, 0.651,-0.355
 0.094, 0.082, 0.652,-0.356
 0.094, 0.082, 0.653,-0.357
 0.095, 0.082, 0.653,-0.358
 0.095, 0.082, 0.654,-0.359
 0.096, 0.083, 0.655,-0.36 
 0.096, 0.083, 0.655,-0.361
 0.096, 0.083, 0.656,-0.362
 0.097, 0.083, 0.656,-0.363
 0.097, 0.083, 0.657,-0.363
 0.098, 0.083, 0.658,-0.364
 0.098, 0.083, 0.658,-0.365
 0.098, 0.083, 0.659,-0.366
 0.099, 0.083, 0.659,-0.367
 0.099, 0.083, 0.66 ,-0.368
 0.1  , 0.083, 0.661,-0.369
 0.1  , 0.083, 0.661,-0.37 
 0.1  , 0.083, 0.662,-0.371
 0.101, 0.083, 0.663,-0.372
 0.101, 0.083, 0.663,-0.373
 0.102, 0.083, 0.664,-0.374
 0.102, 0.083, 0.664,-0.375
 0.102, 0.083, 0.665,-0.376
 0.103, 0.083, 0.666,-0.376
 0.103, 0.083, 0.666,-0.377
 0.104, 0.083, 0.667,-0.378
 0.104, 0.083, 0.668,-0.379
 0.104, 0.083, 0.668,-0.38 
 0.105, 0.084, 0.669,-0.381
 0.105, 0.084, 0.669,-0.382
 0.106, 0.084, 0.67 ,-0.383
 0.106, 0.084, 0.671,-0.384
 0.106, 0.084, 0.671,-0.385
 0.107, 0.084, 0.672,-0.386
 0.107, 0.084, 0.673,-0.387
 0.108, 0.084, 0.673,-0.388
 0.108, 0.084, 0.674,-0.389
 0.108, 0.084, 0.674,-0.389
 0.109, 0.084, 0.675,-0.39 
 0.109, 0.084, 0.676,-0.391
 0.11 , 0.084, 0.676,-0.392
 0.11 , 0.084, 0.677,-0.393
 0.11 , 0.084, 0.678,-0.394
 0.111, 0.084, 0.678,-0.395
 0.111, 0.084, 0.679,-0.396
 0.111, 0.084, 0.679,-0.397
 0.112, 0.084, 0.68 ,-0.398
 0.112, 0.084, 0.681,-0.399
 0.113, 0.084, 0.681,-0.4  
 0.113, 0.084, 0.682,-0.401
 0.113, 0.084, 0.683,-0.402
 0.114, 0.084, 0.683,-0.403
 0.114, 0.084, 0.684,-0.403
 0.115, 0.084, 0.684,-0.404
 0.115, 0.084, 0.685,-0.405
 0.115, 0.084, 0.686,-0.406
 0.116, 0.084, 0.686,-0.407
 0.116, 0.084, 0.687,-0.408
 0.117, 0.084, 0.688,-0.409
 0.117, 0.084, 0.688,-0.41 
 0.117, 0.084, 0.689,-0.411
 0.118, 0.084, 0.689,-0.412
 0.118, 0.084, 0.69 ,-0.413
 0.119, 0.084, 0.691,-0.414
